Data;Commodities - petróleo - cotação internacional - US$ - Fundo Monetário Internacional, International Financial Statistics (FMI/IFS) - IFS12_PETROLEUM12;
1983.04;29,49;
1983.05;29,16;
1983.06;29,79;
1983.07;30,35;
1983.08;30,55;
1983.09;29,99;
1983.10;29,39;
1983.11;28,92;
1983.12;28,51;
1984.01;28,98;
1984.02;29,17;
1984.03;29,55;
1984.04;29,53;
1984.05;29,42;
1984.06;28,99;
1984.07;27,9;
1984.08;28,19;
1984.09;28,35;
1984.10;28;
1984.11;27,59;
1984.12;26,88;
1985.01;26,63;
1985.02;27,56;
1985.03;27,91;
1985.04;27,84;
1985.05;26,66;
1985.06;26,35;
1985.07;26,63;
1985.08;27,13;
1985.09;27,52;
1985.10;28,29;
1985.11;29,18;
1985.12;26,75;
1986.01;22,33;
1986.02;16,38;
1986.03;12,77;
1986.04;11,89;
1986.05;13,49;
1986.06;11,95;
1986.07;9,88;
1986.08;13,42;
1986.09;14,03;
1986.10;14,01;
1986.11;14,47;
1986.12;15,44;
1987.01;18,1;
1987.02;17,28;
1987.03;17,74;
1987.04;18,05;
1987.05;18,41;
1987.06;18,71;
1987.07;19,62;
1987.08;18,88;
1987.09;18,32;
1987.10;18,63;
1987.11;17,87;
1987.12;16,77;
1988.01;16,5;
1988.02;15,9;
1988.03;14,86;
1988.04;16,42;
1988.05;16,36;
1988.06;15,49;
1988.07;14,47;
1988.08;14,57;
1988.09;13,22;
1988.10;12,23;
1988.11;12,53;
1988.12;14,68;
1989.01;16,45;
1989.02;16,52;
1989.03;18,1;
1989.04;19,39;
1989.05;18,22;
1989.06;17,8;
1989.07;17,67;
1989.08;16,87;
1989.09;17,69;
1989.10;18,41;
1989.11;18,38;
1989.12;19,37;
1990.01;20,3650724637681;
1990.02;19,5288333333333;
1990.03;18,2207575757576;
1990.04;16,5677777777778;
1990.05;16,5875362318841;
1990.06;15,1755555555556;
1990.07;17,1368181818182;
1990.08;26,395652173913;
1990.09;32,8563333333333;
1990.10;34,6708695652174;
1990.11;31,1451515151515;
1990.12;26,0865079365079;
1991.01;22,8597101449275;
1991.02;18,1585;
1991.03;18,1460317460317;
1991.04;18,5089393939394;
1991.05;18,8091304347826;
1991.06;17,926;
1991.07;19,0317391304348;
1991.08;19,360303030303;
1991.09;20,0730158730159;
1991.10;21,4460869565217;
1991.11;20,6225396825397;
1991.12;17,6768181818182;
1992.01;17,3942028985507;
1992.02;17,6346666666667;
1992.03;17,4483333333333;
1992.04;18,6327272727273;
1992.05;19,522380952381;
1992.06;20,8683333333333;
1992.07;20,1930434782609;
1992.08;19,6553968253968;
1992.09;20,1871212121212;
1992.10;20,0518181818182;
1992.11;18,8955555555556;
1992.12;17,9824637681159;
1993.01;17,3074603174603;
1993.02;18,1913333333333;
1993.03;18,4976811594203;
1993.04;18,485;
1993.05;18,228253968254;
1993.06;17,4656060606061;
1993.07;16,3;
1993.08;16,4940909090909;
1993.09;15,9334848484848;
1993.10;16,5220634920635;
1993.11;15,24;
1993.12;13,4282608695652;
1994.01;14,1225396825397;
1994.02;13,7625;
1994.03;13,4998550724638;
1994.04;15,0646031746032;
1994.05;16,3480303030303;
1994.06;17,2689393939394;
1994.07;18,0465079365079;
1994.08;17,0744927536232;
1994.09;16,2433333333333;
1994.10;16,5260317460317;
1994.11;17,14;
1994.12;16,2343939393939;
1995.01;16,8804545454545;
1995.02;17,4553333333333;
1995.03;17,3682608695652;
1995.04;18,6558333333333;
1995.05;18,5549275362319;
1995.06;17,320303030303;
1995.07;16,1553968253968;
1995.08;16,5653623188406;
1995.09;16,8136507936508;
1995.10;16,1681818181818;
1995.11;16,875303030303;
1995.12;18,151746031746;
1996.01;17,9171014492754;
1996.02;17,6425396825397;
1996.03;19,3701587301587;
1996.04;20,7963636363636;
1996.05;19,168115942029;
1996.06;18,7768333333333;
1996.07;19,581884057971;
1996.08;20,3793939393939;
1996.09;22,4190476190476;
1996.10;23,6026086956522;
1996.11;22,5850793650794;
1996.12;23,7062121212121;
1997.01;23,4063768115942;
1997.02;20,6748333333333;
1997.03;19,5687301587302;
1997.04;18,0840909090909;
1997.05;19,5277272727273;
1997.06;18,0760317460317;
1997.07;18,4884057971014;
1997.08;18,8103174603175;
1997.09;18,775303030303;
1997.10;20,1531884057971;
1997.11;19,2963333333333;
1997.12;17,3594202898551;
1998.01;15,3201515151515;
1998.02;14,2878333333333;
1998.03;13,3310606060606;
1998.04;13,7631818181818;
1998.05;14,0374603174603;
1998.06;12,8769696969697;
1998.07;12,8878260869565;
1998.08;12,5739682539683;
1998.09;13,8795454545455;
1998.10;13,3660606060606;
1998.11;11,994126984127;
1998.12;10,5107246376812;
1999.01;11,461746031746;
1999.02;10,838;
1999.03;13,3031884057971;
1999.04;15,8992424242424;
1999.05;16,2414285714286;
1999.06;16,5324242424242;
1999.07;18,9716666666667;
1999.08;20,4121212121212;
1999.09;22,9959090909091;
1999.10;22,0461904761905;
1999.11;24,3395454545455;
1999.12;25,1095652173913;
2000.01;25,4057142857143;
2000.02;27,3709523809524;
2000.03;27,4944927536232;
2000.04;23,767;
2000.05;27,4242028985507;
2000.06;29,8315151515151;
2000.07;28,3385714285714;
2000.08;30,0063768115942;
2000.09;32,4385714285714;
2000.10;31,6495454545455;
2000.11;32,6065151515152;
2000.12;25,3185714285714;
2001.01;25,9588405797101;
2001.02;27,4313333333333;
2001.03;25,2842424242424;
2001.04;25,9063492063492;
2001.05;27,4902898550725;
2001.06;27,1090476190476;
2001.07;24,9436363636364;
2001.08;25,9221739130435;
2001.09;25,4288333333333;
2001.10;21,0566666666667;
2001.11;18,7287878787879;
2001.12;18,6146031746032;
2002.01;19,3305797101449;
2002.02;20,1581666666667;
2002.03;23,8266666666667;
2002.04;25,5107575757576;
2002.05;25,7197101449275;
2002.06;24,5733333333333;
2002.07;25,7604347826087;
2002.08;26,7407575757576;
2002.09;28,324126984127;
2002.10;27,4482608695652;
2002.11;24,6504761904762;
2002.12;27,9630303030303;
2003.01;30,5339130434783;
2003.02;32,926;
2003.03;30,3028571428571;
2003.04;25,650303030303;
2003.05;26,0851515151515;
2003.06;27,9868253968254;
2003.07;28,6617391304348;
2003.08;29,7274603174603;
2003.09;26,9327272727273;
2003.10;29,0202898550725;
2003.11;29,1051666666667;
2003.12;29,9747826086957;
2004.01;31,3966666666667;
2004.02;31,4503333333333;
2004.03;33,5805797101449;
2004.04;33,9036363636364;
2004.05;37,537619047619;
2004.06;35,6825757575758;
2004.07;37,985303030303;
2004.08;41,9243939393939;
2004.09;41,7195454545455;
2004.10;47,0393650793651;
2004.11;42,3331818181818;
2004.12;39,1273913043478;
2005.01;43,1622222222222;
2005.02;44,4615;
2005.03;51,1326086956522;
2005.04;50,9123809523809;
2005.05;48,0939393939394;
2005.06;54,0812121212121;
2005.07;56,4366666666667;
2005.08;61,9178260869565;
2005.09;61,9492424242424;
2005.10;58,2873015873016;
2005.11;55,0530303030303;
2005.12;56,5877272727273;
2006.01;62,3357575757576;
2006.02;59,8955;
2006.03;61,3639130434783;
2006.04;68,1836666666667;
2006.05;68,9234782608696;
2006.06;68,4516666666667;
2006.07;72,4720634920635;
2006.08;71,7657971014493;
2006.09;62,0855555555556;
2006.10;57,9927272727273;
2006.11;58,4468181818182;
2006.12;60,9012698412698;
2007.01;53,7071014492754;
2007.02;57,7058333333333;
2007.03;60,6425757575758;
2007.04;65,1785714285714;
2007.05;65,2365217391304;
2007.06;68,1009523809524;
2007.07;73,434696969697;
2007.08;70,348115942029;
2007.09;76,6166666666667;
2007.10;82,1246376811594;
2007.11;91,3237878787879;
2007.12;89,8509523809524;
2008.01;90,7656521739131;
2008.02;93,3830158730159;
2008.03;101,679841269841;
2008.04;108,744090909091;
2008.05;122,949848484848;
2008.06;131,634761904762;
2008.07;132,542028985507;
2008.08;114,372222222222;
2008.09;99,8251515151515;
2008.10;71,9278260869565;
2008.11;53,1925;
2008.12;40,191884057971;
2009.01;42,8507575757576;
2009.02;41,373;
2009.03;46,4340909090909;
2009.04;49,7569696969697;
2009.05;58,0304761904762;
2009.06;68,7019696969697;
2009.07;64,8784057971014;
2009.08;71,8039682539683;
2009.09;68,1525757575757;
2009.10;74,0051515151515;
2009.11;77,338253968254;
2009.12;74,6920289855073;
2010.01;77,0961904761905;
2010.02;74,646;
2010.03;79,6394202898551;
2010.04;84,3127272727273;
2010.05;75,3698412698413;
2010.06;74,945;
2010.07;74,8210606060606;
2010.08;76,0151515151515;
2010.09;76,339696969697;
2010.10;81,8942857142857;
2010.11;84,4681818181818;
2010.12;90,186231884058;
2011.01;93,0593650793651;
2011.02;97,7711666666667;
2011.03;108,630144927536;
2011.04;116,430952380952;
2011.05;108,15196969697;
2011.06;106,030151515152;
2011.07;108,502857142857;
2011.08;100,532028985507;
2011.09;100,771212121212;
2011.10;100,153968253968;
2011.11;105,021515151515;
2011.12;103,768484848485;
2012.01;106,707272727273;
2012.02;112,713015873016;
2012.03;117,829696969697;
2012.04;113,764285714286;
2012.05;104,335942028985;
2012.06;90,9092063492063;
2012.07;96,954393939394;
2012.08;105,617826086956;
2012.09;106,399833333333;
2012.10;103,272028985507;
2012.11;101,246060606061;
2012.12;101,409841269841;
2013.01;105,147971014493;
2013.02;107,639666666667;
2013.03;102,829682539683;
2013.04;98,8409090909091;
2013.05;99,4230434782609;
2013.06;99,8378333333334;
2013.07;105,344927536232;
2013.08;108,188333333333;
2013.09;108,810634920635;
2013.10;105,680579710145;
2013.11;102,687142857143;
2013.12;105,631060606061;
2014.01;102,219275362319;
2014.02;104,933833333333;
2014.03;104,260158730159;
2014.04;104,999848484848;
2014.05;105,787575757576;
2014.06;108,547936507937;
2014.07;105,456231884058;
2014.08;100,109047619048;
2014.09;95,8348484848485;
2014.10;86,1228985507246;
2014.11;77,0188333333333;
2014.12;60,6230434782609;
2015.01;47,6609090909091;
2015.02;55,0103333333333;
2015.03;52,8745454545455;
2015.04;57,5462121212121;
2015.05;62,5868253968254;
2015.06;61,415303030303;
2015.07;54,671884057971;
2015.08;46,1425396825397;
2015.09;46,2439393939394;
2015.10;47,0115151515151;
2015.11;43,0925396825397;
2015.12;36,6865217391304;
2016.01;30,4292063492063;
2016.02;31,2709523809524;
2016.03;37,7146376811594;
2016.04;41,2287301587302;
2016.05;46,3089393939394;
2016.06;48,3283333333333;
2016.07;44,6465079365079;
2016.08;45,2576811594203;
2016.09;45,4177272727273;
2016.10;50,0085714285714;
2016.11;45,4842424242424;
2016.12;53,0707575757576;
2017.01;53,9472727272727;
2017.02;54,6136666666667;
2017.03;51,0131884057971;
2017.04;52,5688333333333;
2017.05;50,0227536231884;
2017.06;46,3981818181818;
2017.07;47,875873015873;
2017.08;50,0817391304348;
2017.09;53,0720634920635;
2017.10;54,9613636363636;
2017.11;60,0537878787879;
2017.12;61,1230158730159;
2018.01;66,166231884058;
2018.02;63,5181666666667;
2018.03;64,5465151515152;
2018.04;68,9712698412698;
2018.05;73,6369565217391;
2018.06;72,3301587301587;
2018.07;73,0243939393939;
2018.08;71,4578260869565;
2018.09;75,4261666666667;
2018.10;76,7663768115942;
2018.11;62,3675757575758;
2018.12;54,1787301587301;
2019.01;56,7771014492753;
2019.02;61,3093333333333;
2019.03;64,0215873015873;
2019.04;68,7619696969697;
2019.05;66,5988405797102;
2019.06;59,5965;
2019.07;61,5197101449275;
2019.08;57,6509090909091;
2019.09;60,0490476190476;
2019.10;57,4852173913043;
2019.11;60,1947619047619;
2019.12;63,2230303030303;
2020.01;61,5802898550725;
2020.02;53,4491666666667;
2020.03;32,2589393939394;
2020.04;23,3387878787879;
2020.05;31,2688888888889;
2020.06;39,7478787878788;
2020.07;42,1815942028986;
2020.08;43,7898412698413;
2020.09;40,9660606060606;
2020.10;40,6087878787879;
2020.11;42,9709523809524;
2020.12;49,0247826086957;
2021.01;53,9069841269841;
2021.02;60,9491666666667;
2021.03;64,0892753623188;
2021.04;63,3593939393939;
2021.05;66,6287301587302;
2021.06;72,0645454545455;
2021.07;73,0439393939394;
2021.08;69,0639393939394;
2021.09;73,0142424242424;
2021.10;82,2222222222222;
2021.11;79,5478787878788;
2021.12;73,1094202898551;
2022.01;84,1169841269841;
2022.02;92,4666666666667;
2022.03;109,475652173913;
2022.04;103,632063492063;
2022.05;109,895909090909;
2022.06;114,742727272727;
2022.07;102,496507936508;
2022.08;95,676231884058;
2022.09;88,250303030303;
2022.10;90,74;
2022.11;86,5380303030303;
2022.12;78,3136363636364;
2023.01;81,0793939393939;
2023.02;80,645;
2023.03;76,9585507246377;
2023.04;82,0236666666667;
2023.05;74,07;
2023.06;73,3371212121212;
2023.07;78,8404761904762;
2023.08;84,2213043478261;
2023.09;91,717619047619;
2023.10;87,7348484848485;
2023.11;80,8009090909091;
2023.12;75,71;
